Nom,Marque,Categorie,Prix,Cible,Ingredients
Lait de Toilette Pediatrique,Moby Bebe,Hydratant,2000,"Peaux sensibles, bebes","Aqua, Paraffinum liquidum, Extrait de Calendula officinalis, Huile d'amande douce (Prunus dulcis), Glycerine"
Lait de Toilette Hydratant,Kidoux,Hydratant,2000,"Peaux sensibles, nourrissons et enfants","Agents filmogenes protecteurs, extrait d'amande douce"
Vaseline Pure,Moby Bebe,Hydratant,1500,"Peaux tres seches, irritees, sensibles","Vaseline pure, sans paraffine"
Lait Corporel Hydratant Famille,Bettina,Hydratant,2750,"Peaux normales a seches, toute la famille","Glycerine, emollients doux"
Lait Hydratant Intense,Hydra Care,Hydratant,3250,"Peaux seches, deshydratees, noires et metissees","Glycerine enrichie, agents hydro-protecteurs"
Lait Creme Clarifiant Eclaircissant Haute Exigence,BioPur Paris,Clarifiant/Eclaircissant,4150,"Peaux noires et metissees, teint terne, tous types","Busserole/Alpha-Arbutin, Vitamine C, Glycerine, AHA"
Lait Corporel Super Eclaircissant,Rapid'Clair,Clarifiant/Eclaircissant,3500,"Peaux normales a seches, taches brunes","Racine de reglisse, Aloe Vera, Vitamine C, Allantoine, Glycerine"
Creme Super Eclaircissante,Rapid'Clair,Clarifiant/Eclaircissant,5000,"Peaux ethniques epaisses, forte hyperpigmentation","Extraits vegetaux eclaircissants, Aloe Vera"
Serum Concentre Eclaircissant Purifiant,Rapid'Clair,Clarifiant/Eclaircissant,2000,"Zones rugueuses et hyperpigmentees (coudes, genoux)","Extraits vegetaux eclaircissants, acide citrique, agents exfoliants"
Serum Actif Anti-Taches Skin Perfector,White Express,Clarifiant/Eclaircissant,2750,"Taches de rousseur, cicatrices d'acne, masque de grossesse","Complexe clarifiant, extraits de plantes, antioxydants"
Lait White Express,White Express,Clarifiant/Eclaircissant,4500,"Peaux a imperfections, taches (soleil, acne)","AHA, actifs exfoliants"
Bio-Oil Shampoo with Liquid Crystals,Biopharma,Soins capillaires,3250,"Cuir chevelu fatigue, cheveux cassants et ternes","Cristaux liquides, huiles essentielles"
Bio Oil Shampoo With Argan Oil,Biopharma,Soins capillaires,4000,"Cuir chevelu sec, cheveux fins et fourchus","Huile d'Argan pure"
Bio Oil Lotion Serum SOS,Biopharma,Soins capillaires,4750,"Tous cuirs chevelus, cheveux tres abimes ou traites chimiquement","Keratine, cristaux liquides, Panthenol, Glycerine"
Argan Crystal Oil Lotion,Biopharma,Soins capillaires,5250,"Cuir chevelu sec a normal, cheveux rebelles ou secs","Huile d'Argan, cristaux de brillance"
Classico Crema Ristrutturante,Biopharma,Soins capillaires,4250,"Cuir chevelu normal a sec, cheveux secs et indisciplines","Masque creme restructurant (moelle/proteines)"
Kidoux Eau de Cologne,Kidoux,Parfums,2000,"Peau sensible des bebes et enfants","Alcool denat, Aqua, Parfum, extraits naturels de plantes"
Moby Bebe Eau de Cologne,Moby Bebe,Parfums,2000,"Peau delicate et sensible des nourrissons","Aqua, Alcohol denat, Parfum, extraits de Calendula"
Balneo Fraicheur Eau de Cologne Corporelle,Balneo,Parfums,2000,"Tous types de peau, adultes et adolescents","Alcool, eau, extraits floraux/vegetaux, agents parfumants"
Lait Hydratant Kidoux,Kidoux,Bebe,2000,"Peau delicate et seche du nourrisson","Huile d'amande douce, extraits naturels"
Poudre de toilette Kidoux,Kidoux,Bebe,1250,"Peau sensible, plis (fesses, cou)","Talc pur, sans paraffine"
Savon Kidoux,Kidoux,Bebe,650,"Peau normale a sensible","Base lavante douce nourrissante"
Shampooing doux Kidoux,Kidoux,Bebe,1500,"Cuir chevelu sensible du bebe","Extraits apaisants anti-piqures"
Eau de Cologne Kidoux Bebe,Kidoux,Bebe,1750,"Tout type de peau","Extraits parfumes doux, sans alcool agressif"
Moby Bebe Talc,Moby Bebe,Bebe,1250,"Peau sensible, rougeurs et erythemes","Extrait de Calendula"
Lait de toilette Moby,Moby Bebe,Bebe,1900,"Peau normale a delicate","Huile d'amande douce"
Huile d'Amande Douce Pure Moby,Moby Bebe,Bebe,1600,"Peau tres seche, irritee, squameuse","Huile d'amande douce pure"
Gel douche Gel moussant Moby,Moby Bebe,Bebe,2000,"Peau delicate","Base lavante ultra-douce"
